k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |149.7192190771219771|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.357384699791205, 4.066042733121504]                                          | 91.6786344167087606|      2.00000000|[2, 1, 1, 2]                                                               |  | used linear model with 3 points | iterate success | actual_k=1
       2|[1.357384699791205, 4.066042733121504]                                          | 91.6786344167087606|      1.00000000|[4, 2, 2, 4]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       3|[0.881985834647044, 3.1862723545455696]                                         |  2.6516169767246609|      2.00000000|[6, 3, 3, 6]                                                               |  | used linear model with 3 points | iterate success | actual_k=1
       4|[0.881985834647044, 3.1862723545455696]                                         |  2.6516169767246609|      1.00000000|[9, 3, 4, 8]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       5|[0.881985834647044, 3.1862723545455696]                                         |  2.6516169767246609|      0.50000000|[11, 4, 5, 10]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
       6|[0.881985834647044, 3.1862723545455696]                                         |  2.6516169767246609|      0.25000000|[14, 4, 6, 12]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
       7|[0.8693825638257707, 3.271604815247035]                                         |  1.9983030557632446|      0.50000000|[16, 5, 6, 13]                                                             | | GPS sucess | actual_k=1
       8|[0.8693825638257707, 3.271604815247035]                                         |  1.9983030557632446|      0.25000000|[17, 6, 7, 15]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
       9|[1.0081265929682492, 3.063638244911053]                                         |  1.0135128043357344|      0.50000000|[19, 7, 8, 17]                                                             |  | used linear model with 3 points | iterate success | actual_k=1
      10|[1.0081265929682492, 3.063638244911053]                                         |  1.0135128043357344|      0.25000000|[21, 8, 9, 19]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
      11|[1.1340443405850171, 2.923278545184948]                                         |  0.4925531148910522|      0.50000000|[24, 8, 9, 20]                                                             | | GPS sucess | actual_k=1
