k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.705030620098114, 0.9296648055315018, 1.4274008572101593, 0.7684349417686462, 0.8301113396883011, 0.790253072977066, 1.262499362230301, 1.108977198600769, 0.629682332277298, 0.7534978836774826, 1.0911537483334541, 0.93438670784235, 0.9479139782488346, 1.1184608489274979, 1.0571521185338497, 1.0835089981555939, 1.0457588396966457, 1.260230004787445, 0.7301481068134308, 0.725183516740799, 0.9386218823492527, 1.043309785425663]|  1.4621802568435669|      2.00000000|[19, 4, 0, 1]                                                              | | GPS sucess | actual_k=8
       2|[0.3640303611755371, 1.0607337802648544, 1.35614512860775, 0.6424417644739151, 0.1612223535776138, 0.8321620412170887, 0.6750794947147369, 0.6832086145877838, 0.4887942969799042, 0.9320347160100937, 0.0414886549115181, 0.5110801532864571, 1.2057687677443027, 1.3673506677150726, 0.6124771200120449, 0.5607710778713226, 1.1088892929255962, 1.1768148988485336, 0.6701548360288143, 0.774432823061943, 1.0572433210909367, 1.60878536850214]|  1.2728154659271240|      4.00000000|[41, 4, 0, 2]                                                              | | GPS sucess | actual_k=8
       3|[0.3534255623817444, 0.1338190287351608, 1.8162024766206741, 1.1124351173639297, 0.4367466121912003, 0.6712283827364445, -0.0481857359409332, 0.3623739182949066, 0.8518630862236023, 1.5640885680913925, 0.8224704340100288, -0.8720666095614433, 1.1315938793122768, 0.5640815794467926, -0.7223404087126255, 1.869838923215866, 2.3884760849177837, 0.1741704791784286, -0.0233609415590763, 0.1441482752561569, 2.3949548937380314, 1.6570073552429676]|  1.0644866228103638|      8.00000000|[59, 8, 0, 3]                                                              | | GPS sucess | actual_k=8
       4|[-2.222805440425873, -2.088917091488838, 0.8255036026239395, 0.4757245928049088, -1.936005339026451, -0.927072312682867, 2.616092771291733, -1.2012979090213776, 1.5939896702766418, -1.3912429958581924, -1.0848864242434502, -3.3556393310427666, 0.6911333166062832, 1.7074441015720367, -0.0004836954176426, 1.9224138483405113, 0.3052377216517925, -1.2374093681573868, -0.2346298880875111, -0.5297933965921402, 0.5915069319307804, 0.6973785348236561]|  0.7243751287460327|     16.00000000|[78, 11, 0, 4]                                                             | | GPS sucess | actual_k=8
       5|[-2.044760286808014, -0.4482723027467728, 1.260568454861641, -4.214532479643822, 0.0324947983026505, 0.1372360922396183, -1.8159760534763336, -2.9272015392780304, -1.4721021056175232, -1.7677877396345139, 0.8876223638653755, -7.093295209109783, 2.8822475038468838, -3.1305786073207855, 6.898571785539389, 1.8438222035765648, 0.6499245576560497, 0.5046225637197495, 6.670217256993055, 3.1328202337026596, 0.3000917471945286, -2.4193032793700695]|  0.6572298407554626|     32.00000000|[96, 15, 0, 5]                                                             | | GPS sucess | actual_k=8
       6|[-2.044760286808014, -0.4482723027467728, 1.260568454861641, -4.214532479643822, 0.0324947983026505, 0.1372360922396183, -1.8159760534763336, -2.9272015392780304, -1.4721021056175232, -1.7677877396345139, 0.8876223638653755, -7.093295209109783, 2.8822475038468838, -3.1305786073207855, 6.898571785539389, 1.8438222035765648, 0.6499245576560497, 0.5046225637197495, 6.670217256993055, 3.1328202337026596, 0.3000917471945286, -2.4193032793700695]|  0.6572298407554626|     16.00000000|[114, 19, 0, 6]                                                            |  | used linear model with 23 points | actual_k=8
       7|[-2.044760286808014, -0.4482723027467728, 1.260568454861641, -4.214532479643822, 0.0324947983026505, 0.1372360922396183, -1.8159760534763336, -2.9272015392780304, -1.4721021056175232, -1.7677877396345139, 0.8876223638653755, -7.093295209109783, 2.8822475038468838, -3.1305786073207855, 6.898571785539389, 1.8438222035765648, 0.6499245576560497, 0.5046225637197495, 6.670217256993055, 3.1328202337026596, 0.3000917471945286, -2.4193032793700695]|  0.6572298407554626|      8.00000000|[131, 24, 0, 7]                                                            |  | used linear model with 23 points | actual_k=8
       8|[-2.044760286808014, -0.4482723027467728, 1.260568454861641, -4.214532479643822, 0.0324947983026505, 0.1372360922396183, -1.8159760534763336, -2.9272015392780304, -1.4721021056175232, -1.7677877396345139, 0.8876223638653755, -7.093295209109783, 2.8822475038468838, -3.1305786073207855, 6.898571785539389, 1.8438222035765648, 0.6499245576560497, 0.5046225637197495, 6.670217256993055, 3.1328202337026596, 0.3000917471945286, -2.4193032793700695]|  0.6572298407554626|      4.00000000|[150, 27, 0, 8]                                                            |  | used linear model with 23 points | actual_k=8
       9|[-1.3587679266929626, -1.2269564419984818, 0.110028937458992, -3.3655245155096054, -1.453096017241478, -0.3380898796021938, -1.5041930675506592, -1.8158153593540192, -1.1260425448417664, -2.825478360056877, 0.1435856893658638, -7.1910925060510635, 2.4056862853467464, -1.8878551423549652, 6.435692485421896, 2.0908829793334007, 1.858920257538557, -1.1839484125375748, 7.375311713665724, 3.4200585335493088, 0.8357278741896152, -2.440430598333478]|  0.6348581314086914|      8.00000000|[170, 29, 0, 9]                                                            | | GPS sucess | actual_k=8
      10|[-0.0585095286369324, -2.8203495293855667, -4.436871334910393, -2.6348750442266464, -1.0136124044656754, -0.617639746516943, -0.6861425042152405, -0.6352643072605133, -0.9371962547302246, -3.19162480533123, -0.8400021716952324, -6.429932847619057, 1.4455184005200863, 2.1826509535312653, 4.122266706079245, 3.6410196647047997, 0.0391682796180248, -1.6381758004426956, 6.815000455826521, 3.464665461331606, -0.2765294872224331, -1.8443833161145449]|  0.6073926687240601|     16.00000000|[190, 31, 0, 10]                                                           | | GPS sucess | actual_k=8
      11|[-0.0585095286369324, -2.8203495293855667, -4.436871334910393, -2.6348750442266464, -1.0136124044656754, -0.617639746516943, -0.6861425042152405, -0.6352643072605133, -0.9371962547302246, -3.19162480533123, -0.8400021716952324, -6.429932847619057, 1.4455184005200863, 2.1826509535312653, 4.122266706079245, 3.6410196647047997, 0.0391682796180248, -1.6381758004426956, 6.815000455826521, 3.464665461331606, -0.2765294872224331, -1.8443833161145449]|  0.6073926687240601|      8.00000000|[208, 35, 0, 11]                                                           |  | used linear model with 23 points | actual_k=8
