k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |749.0383999999999105|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.8160900592803955, 0.9565872214734554]                                       |228.3298797607421875|      2.00000000|[4, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[0.4696659326553345, 1.3765924833714962]                                        |162.3317871093750000|      4.00000000|[7, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[0.4696659326553345, 1.3765924833714962]                                        |162.3317871093750000|      2.00000000|[10, 0, 1, 4]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       4|[1.1280853629112244, 2.5146348141133785]                                        |116.4534072875976562|      4.00000000|[14, 0, 1, 5]                                                              | | GPS sucess | actual_k=0
       5|[0.0390257716178894, 0.0536033771932125]                                        |  1.2101668119430542|      8.00000000|[17, 0, 1, 6]                                                              | | GPS sucess | actual_k=0
       6|[0.0390257716178894, 0.0536033771932125]                                        |  1.2101668119430542|      4.00000000|[20, 0, 2, 8]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       7|[0.0390257716178894, 0.0536033771932125]                                        |  1.2101668119430542|      2.00000000|[24, 0, 3, 10]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       8|[0.0390257716178894, 0.0536033771932125]                                        |  1.2101668119430542|      1.00000000|[28, 0, 4, 12]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       9|[0.0390257716178894, 0.0536033771932125]                                        |  1.2101668119430542|      0.50000000|[32, 0, 5, 14]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      10|[0.0390257716178894, 0.0536033771932125]                                        |  1.2101668119430542|      0.25000000|[36, 0, 6, 16]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      11|[0.2007253050804139, 0.0313191767781973]                                        |  0.6928117871284485|      0.50000000|[40, 0, 6, 17]                                                             | | GPS sucess | actual_k=0
      12|[0.5360367774963379, 0.1115875449031591]                                        |  0.3953332006931305|      1.00000000|[43, 0, 6, 18]                                                             | | GPS sucess | actual_k=0
      13|[0.5360367774963379, 0.1115875449031591]                                        |  0.3953332006931305|      0.50000000|[46, 0, 7, 20]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
