k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.3793725490570068, 1.5714634656906128]                                       |  1.1835527420043945|      2.00000000|[3, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[1.6205515146255494, 1.5540487188845873]                                        |  0.4004569947719574|      4.00000000|[6, 1, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[1.6205515146255494, 1.5540487188845873]                                        |  0.4004569947719574|      2.00000000|[8, 2, 1, 4]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       4|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      4.00000000|[11, 3, 1, 5]                                                              | | GPS sucess | actual_k=1
       5|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      2.00000000|[14, 3, 2, 7]                                                              |  | used linear model with 4 points | iterate failure | actual_k=1
       6|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      1.00000000|[17, 4, 3, 9]                                                              |  | used linear model with 4 points | iterate failure | actual_k=1
       7|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.50000000|[20, 5, 3, 10]                                                             |  | used linear model with 4 points | actual_k=1
       8|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.25000000|[23, 5, 3, 11]                                                             |  | used linear model with 4 points | actual_k=1
       9|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.12500000|[25, 6, 3, 12]                                                             |  | used linear model with 4 points | actual_k=1
      10|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.06250000|[27, 7, 3, 13]                                                             |  | used linear model with 4 points | actual_k=1
      11|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.03125000|[29, 8, 3, 14]                                                             |  | used linear model with 4 points | actual_k=1
      12|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.01562500|[31, 9, 3, 15]                                                             |  | used linear model with 4 points | actual_k=1
      13|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.00781250|[33, 10, 3, 16]                                                            |  | used linear model with 4 points | actual_k=1
      14|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.00390625|[36, 10, 3, 17]                                                            |  | used linear model with 4 points | actual_k=1
      15|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.00195312|[38, 11, 3, 18]                                                            |  | used linear model with 4 points | actual_k=1
      16|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.00097656|[40, 12, 3, 19]                                                            |  | used linear model with 4 points | actual_k=1
      17|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.00048828|[42, 13, 3, 20]                                                            |  | used linear model with 4 points | actual_k=1
