k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3810697197914124, 0.3994062542915344, -0.2478699684143066, 0.3257216215133667, 0.0902887061238289, 0.0896863266825676, -0.1102972477674484, -0.0631653741002083, 0.2025051563978195, 0.0165062136948109, -0.0159791819751263, -0.0826767832040787, 0.1139898374676704, 0.3487167060375214, -0.0523092076182365, 0.1843140423297882, -0.0884401723742485, -0.0996630489826202, -0.3907334506511688, 0.3006083369255066, -0.0090456157922745, -0.0299764163792133]| 14.0074634552001953|      2.00000000|[258, 18, 0, 5]                                                            | | GPS sucess | actual_k=4
       2|[0.8479881286621094, 0.5097953826189041, -0.2517297980375588, 1.477041482925415, -0.3268651589751244, 0.4256733879446983, 0.1415659934282303, -0.4748780205845833, -0.1095577627420425, -0.4070086590945721, 0.3261751122772694, 0.2459484785795212, 0.1919978111982346, 0.4071389883756638, 0.0952723994851112, 0.0792936757206917, 0.8257686570286751, 0.0460090786218643, -0.4294119477272034, 0.1505451798439026, 0.2837394624948502, 0.2024974636733532]| 12.4469270706176758|      4.00000000|[516, 35, 0, 10]                                                           | | GPS sucess | actual_k=4
       3|[0.8543529761955142, -0.7618971318006516, -0.1976030138321221, 2.621741771697998, -0.805998258292675, 1.7966680750250816, 1.4366135150194168, -0.4091076552867889, 0.5211771577596664, 0.6056842692196369, 0.1286924220621586, 1.2448993176221848, -0.1523782461881638, 0.9553913325071335, -0.1054762676358223, -1.0511367842555046, 0.593843974173069, 0.044601081404835, -0.322147972881794, 0.3855392336845398, 0.5679799765348434, -1.8571138568222523]| 12.1430549621582031|      8.00000000|[773, 53, 0, 15]                                                           | | GPS sucess | actual_k=4
       4|[-1.3202700363472104, -2.773954674601555, 3.282983753364533, 3.779007911682129, -1.344743125140667, 0.7000295147299767, 3.3778476268053055, 2.5587837994098663, -0.8249880224466324, 1.2240738160908222, 1.3574580289423466, 0.3991482704877853, -0.2801836133003235, -0.7916652709245682, -2.567947991192341, -1.9633684679865837, 1.7662865296006203, 0.7005609259940684, -1.9816045835614204, 0.6852912306785583, 2.0210153311491013, -4.272624272853136]| 12.1356658935546875|     16.00000000|[1030, 71, 0, 20]                                                          | | GPS sucess | actual_k=4
       5|[-6.601912473328412, -7.919002339243889, 5.175760481040925, 7.810363292694092, -4.899966351687908, 3.2675289139151573, 4.226480200886726, 2.8046239465475082, -5.749436512589455, -3.5921374075114727, 3.875884924083948, -1.3178145438432693, 0.4883520007133484, -0.6478514671325684, -6.430911667644978, 0.562854714691639, -1.5666330680251122, -6.023374678101391, -0.9759156778454781, -0.7740448117256165, 3.254266306757927, -2.3867601342499256]| 12.1258249282836914|     32.00000000|[1288, 88, 0, 25]                                                          | | GPS sucess | actual_k=4
       6|[-13.374349092133343, -11.262820526957512, 7.466272327583283, 12.88310194015503, -3.313748709857464, 3.176318071782589, 7.670589402318001, 3.859346851706505, 0.2583836168050766, -3.4298362247645855, -9.771678056567907, -7.013777449727058, 10.681575953960419, 9.34319543838501, -8.46225655823946, 0.3267831280827522, 5.920803226530552, -3.380694033112377, 12.263963930308819, 3.654397666454315, 4.8055350035429, -5.124307293444872]| 12.1133584976196289|     64.00000000|[1546, 105, 0, 30]                                                         | | GPS sucess | actual_k=4
       7|[-23.104745362885296, -20.724952027201653, 17.748277637641877, 19.636443614959717, -8.547993533313274, 32.74322786182165, 15.581113770604134, 6.8883426040410995, 20.118359431624413, -9.947505425661802, -27.615561570972204, -0.6704542189836502, 42.83558291196823, -4.6108078956604, -16.84434235841036, -11.206916861236095, -3.777065120637417, -8.261168123688549, 14.840909950435162, -5.955887138843536, 14.019910499453545, 7.572752337902784]| 12.0697374343872070|    128.00000000|[1804, 122, 0, 35]                                                         | | GPS sucess | actual_k=4
       8|[-55.52206561435014, -33.365828797221184, 15.481578323524445, 46.591012477874756, 5.526086933910847, 65.06978120654821, 19.752565816044807, -32.74470640718937, -25.86871637403965, -8.527903269976377, -54.77620991691947, 15.825265690684319, -29.602390110492706, 4.817420482635498, 7.633318774402142, -9.424604825675488, -0.5408998355269432, -25.620297075714916, -2.664121635258198, -14.076562225818634, 28.25737254321575, -29.693456310778856]| 12.0253572463989258|    256.00000000|[2062, 139, 0, 40]                                                         | | GPS sucess | actual_k=4
       9|[-101.53092334140092, -106.62287072837353, 33.27312419144437, 83.28112936019897, 0.5875459983944893, 3.7498005852103233, 48.003065541386604, -51.82005240023136, -140.94713892042637, 16.16916399076581, -33.24451168999076, 34.99810390174389, 43.975429713726044, 22.46116590499878, 5.385871283710003, 28.838792391121387, 71.41140881925821, 95.55802476266399, 30.042695991694927, -44.90046626329422, 102.32891337573528, -34.48036064580083]| 12.0106515884399414|    512.00000000|[2321, 155, 0, 45]                                                         | | GPS sucess | actual_k=4
      10|[-101.53092334140092, -106.62287072837353, 33.27312419144437, 83.28112936019897, 0.5875459983944893, 3.7498005852103233, 48.003065541386604, -51.82005240023136, -140.94713892042637, 16.16916399076581, -33.24451168999076, 34.99810390174389, 43.975429713726044, 22.46116590499878, 5.385871283710003, 28.838792391121387, 71.41140881925821, 95.55802476266399, 30.042695991694927, -44.90046626329422, 102.32891337573528, -34.48036064580083]| 12.0106515884399414|    256.00000000|[2579, 172, 0, 50]                                                         |  | used quadratic model with 276 points | actual_k=4
      11|[-127.8509554611519, -151.50389413535595, 62.05272242752835, 102.40305280685425, 8.174448139965534, -49.68867216259241, 116.49306340515614, -95.02060247957706, -93.16924966871738, -31.849875163286924, -68.4390421770513, 18.67615680396557, 133.86169070005417, -27.072590351104736, -37.080917961895466, -30.304579190909863, 168.65672437101603, 38.88442170480266, -15.895689018070698, -127.66625148057938, 76.11627261340618, -97.9619318433106]| 11.7636804580688477|    512.00000000|[2837, 189, 0, 55]                                                         | | GPS sucess | actual_k=4
      12|[-127.8509554611519, -151.50389413535595, 62.05272242752835, 102.40305280685425, 8.174448139965534, -49.68867216259241, 116.49306340515614, -95.02060247957706, -93.16924966871738, -31.849875163286924, -68.4390421770513, 18.67615680396557, 133.86169070005417, -27.072590351104736, -37.080917961895466, -30.304579190909863, 168.65672437101603, 38.88442170480266, -15.895689018070698, -127.66625148057938, 76.11627261340618, -97.9619318433106]| 11.7636804580688477|    256.00000000|[3094, 207, 0, 60]                                                         |  | used quadratic model with 276 points | actual_k=4
