k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5489702820777893, 0.1163929924368858, 0.328338623046875, 0.7496638894081116, 0.1525867283344269, 0.4345364570617676, 0.6576316952705383, 0.4257676005363464, -0.1848170608282089, -0.505072295665741, -0.7533788084983826, -0.0325717180967331, 0.4159857630729675, -0.2395432144403458, 0.0127339018508792, -0.188658282160759, 0.1669849455356598, 0.0615657716989517, 0.7095125317573547, -0.0780480951070786, -0.7219283580780029, 0.0546883046627045]| 13.1938056945800781|      2.00000000|[275, 17, 0, 5]                                                            | | GPS sucess | actual_k=4
       2|[1.4865984320640564, -0.8785356655716896, 0.0630630850791931, 1.9656597971916199, 0.6158641576766968, 0.8237944841384888, 2.971694052219391, 0.2818116545677185, -0.6534711569547653, 0.02687007188797, -1.6310670971870422, 0.8075411468744278, 0.0315293073654175, 0.0077513158321381, -0.4831619309261441, 0.5564041286706924, 0.8861201703548431, -1.142287716269493, 0.076627790927887, -0.7028587907552719, -0.1598920822143555, 0.9368697106838226]| 12.1457376480102539|      4.00000000|[549, 34, 0, 10]                                                           | | GPS sucess | actual_k=4
       3|[0.4699479937553406, -2.478972353041172, 3.123788058757782, 2.353212296962738, 0.3300265371799469, 2.5649526119232178, 5.08438903093338, 1.57584148645401, -1.4915255159139633, -3.0627796053886414, 0.687644898891449, 0.1906657367944717, -1.0318052768707275, 0.785640150308609, -0.2543243961408734, -0.6021079868078232, 1.9678227603435516, -2.993693694472313, 0.3072132915258408, 1.5806971937417984, 3.3925797939300537, 0.8173449337482452]| 12.1410789489746094|      8.00000000|[822, 52, 0, 15]                                                           | | GPS sucess | actual_k=4
       4|[-1.4385064244270325, -1.6394447460770607, 3.5604848861694336, 3.815311014652252, -3.1708734929561615, -0.3522047996520996, 5.416125148534775, 3.3000375628471375, -2.9305126518011093, -2.073127865791321, 1.5671916007995605, -2.922981485724449, -2.982792019844055, -0.024436742067337, -1.6487142639234662, -2.854285940527916, 2.36355784535408, -3.269029602408409, -1.8764801174402237, 0.0946657806634903, 4.4908447265625, 0.5674456655979156]| 12.1361370086669922|     16.00000000|[1095, 70, 0, 20]                                                          | | GPS sucess | actual_k=4
       5|[-2.426509916782379, -7.616913236677647, 6.154991626739502, 4.4271188378334045, -4.287456601858139, 1.8024673461914062, 8.464178651571274, 4.264029145240784, -4.669434532523155, -1.35338693857193, -0.6779778003692627, -5.653591141104698, -0.2531803846359253, 1.9394799172878265, -6.150184352882206, -9.70182679593563, -1.0388154685497284, 1.7468371540307999, 3.0230464786291122, 0.8769717961549759, 9.923933029174805, -2.705023854970932]| 12.1306142807006836|     32.00000000|[1368, 88, 0, 25]                                                          | | GPS sucess | actual_k=4
       6|[-5.994576275348663, -15.1623410359025, 7.7723740339279175, 7.294535458087921, 4.301730066537857, 12.036103248596191, 0.82786425948143, -5.989941954612732, -0.2032627910375595, -6.28569895029068, 9.41893744468689, 0.1514220386743546, -3.0263456106185913, -12.137187868356705, -7.126879413612187, -0.6447436660528183, -1.0058126151561737, 4.560633674263954, 0.3513641208410263, 6.6579228192567825, 5.523675441741943, -10.764347165822983]| 12.1301784515380859|     64.00000000|[1642, 105, 0, 30]                                                         | | GPS sucess | actual_k=4
       7|[-35.246245205402374, -12.923547901213169, 65.64367759227753, 20.669391453266144, -25.104991048574448, 29.794123649597168, 12.612939447164536, 36.79936468601227, -10.206190571188927, -26.228215277194977, 46.049522161483765, -14.788618549704552, -8.05827510356903, 31.918300718069077, -5.512717683799565, -28.68512414395809, 33.590642005205154, 15.387841239571571, 41.96399687230587, -9.391099855303764, -19.7508282661438, -20.009287923574448]| 12.0876913070678711|    128.00000000|[1915, 123, 0, 35]                                                         | | GPS sucess | actual_k=4
       8|[-45.53813821077347, -42.3642236366868, 49.94982707500458, 33.245594799518585, -25.398344933986664, 17.204151153564453, 10.517833322286606, 17.434588074684143, -31.1974930614233, -37.176240026950836, 65.8362443447113, -4.722539409995079, -17.22301185131073, 43.0137902200222, -1.8712462978437543, -52.63368485867977, 46.32164767384529, 12.016278520226479, 48.09841011464596, -10.600040718913078, -8.95227575302124, -22.13308009505272]| 12.0115289688110352|    256.00000000|[2187, 142, 0, 40]                                                         | | GPS sucess | actual_k=4
       9|[-45.53813821077347, -42.3642236366868, 49.94982707500458, 33.245594799518585, -25.398344933986664, 17.204151153564453, 10.517833322286606, 17.434588074684143, -31.1974930614233, -37.176240026950836, 65.8362443447113, -4.722539409995079, -17.22301185131073, 43.0137902200222, -1.8712462978437543, -52.63368485867977, 46.32164767384529, 12.016278520226479, 48.09841011464596, -10.600040718913078, -8.95227575302124, -22.13308009505272]| 12.0115289688110352|    128.00000000|[2459, 161, 0, 45]                                                         |  | used quadratic model with 292 points | actual_k=4
      10|[-81.307677090168, -151.54507080465555, 80.49495494365692, 62.86389619112015, -36.78006261587143, -111.73031234741211, 61.857059091329575, 7.342857003211975, 40.25773002207279, -7.752308905124664, 56.51595377922058, 34.7007470279932, 76.02072441577911, -40.178699404001236, -12.86618705559522, -26.84858201444149, 23.411384612321854, -12.846327528357506, 87.37548683583736, 0.4784991294145584, 16.36238718032837, 37.62924137711525]| 11.8469610214233398|    256.00000000|[2733, 178, 0, 50]                                                         | | GPS sucess | actual_k=4
      11|[-81.307677090168, -151.54507080465555, 80.49495494365692, 62.86389619112015, -36.78006261587143, -111.73031234741211, 61.857059091329575, 7.342857003211975, 40.25773002207279, -7.752308905124664, 56.51595377922058, 34.7007470279932, 76.02072441577911, -40.178699404001236, -12.86618705559522, -26.84858201444149, 23.411384612321854, -12.846327528357506, 87.37548683583736, 0.4784991294145584, 16.36238718032837, 37.62924137711525]| 11.8469610214233398|    128.00000000|[3005, 197, 0, 55]                                                         |  | used quadratic model with 292 points | actual_k=4
      12|[-148.31482583284378, -151.3911290988326, 25.159173846244812, 124.8688514828682, -49.01088327169418, -109.06681823730469, 124.8648029267788, -28.211262106895447, 60.57467032968998, 89.68573278188705, -36.331748247146606, -47.56647251546383, 45.13408958911896, -53.19835749268532, 80.86771492194384, 46.9285633713007, -13.228298157453537, -15.883062824606895, 98.99574421346188, 31.14044065773487, -28.265428066253662, -23.04968699812889]| 11.7172451019287109|    256.00000000|[3277, 216, 0, 60]                                                         | | GPS sucess | actual_k=4
      13|[-148.31482583284378, -151.3911290988326, 25.159173846244812, 124.8688514828682, -49.01088327169418, -109.06681823730469, 124.8648029267788, -28.211262106895447, 60.57467032968998, 89.68573278188705, -36.331748247146606, -47.56647251546383, 45.13408958911896, -53.19835749268532, 80.86771492194384, 46.9285633713007, -13.228298157453537, -15.883062824606895, 98.99574421346188, 31.14044065773487, -28.265428066253662, -23.04968699812889]| 11.7172451019287109|    128.00000000|[3549, 235, 0, 65]                                                         |  | used quadratic model with 292 points | actual_k=4
      14|[-223.48979836702347, -239.40243586152792, -6.140007138252258, 195.06356126070023, -117.23585885763168, -191.6859359741211, 198.10849341750145, -39.31139886379242, 92.7386527210474, 80.08670896291733, -6.444396257400513, -134.52131412923336, 6.592654347419739, -93.95583811402321, 24.774590532295406, 104.64772917330265, -17.443660706281662, 10.734075084328651, 120.04621456563473, -27.751397415995598, 41.35402536392212, 0.8936952650547028]| 11.5123949050903320|    256.00000000|[3821, 254, 0, 70]                                                         | | GPS sucess | actual_k=4
      15|[-448.6989658474922, -224.4299703463912, 220.45474994182587, 330.6036003232002, -182.2925300002098, -139.59626388549805, 210.16862830519676, -134.10330712795258, 138.8653502613306, 48.841263711452484, 196.8191077709198, -57.58663700520992, -12.022261500358582, -3.564770609140396, 132.82756141852587, 69.6067974716425, -29.355408638715744, 70.39389564096928, 113.61390493810177, -202.39186982810497, -66.95008993148804, -86.72369822859764]| 11.2547321319580078|    512.00000000|[4095, 271, 0, 75]                                                         | | GPS sucess | actual_k=4
      16|[-441.9360941052437, -316.4223104342818, 204.74768149852753, 335.338477909565, -37.303928315639496, -117.57091522216797, 142.2466159760952, -104.94754350185394, 127.11287452280521, -21.78735262155533, 106.05490946769714, -49.971216663718224, 59.4946528673172, -14.313104540109634, 165.41772941779345, 42.43620802462101, -58.603667229413986, 18.60883094370365, 111.75287483632565, -204.24496273696423, -10.331166744232178, -35.87785395979881]| 11.0148286819458008|   1024.00000000|[4367, 290, 0, 80]                                                         | | GPS sucess | actual_k=4
      17|[-441.9360941052437, -316.4223104342818, 204.74768149852753, 335.338477909565, -37.303928315639496, -117.57091522216797, 142.2466159760952, -104.94754350185394, 127.11287452280521, -21.78735262155533, 106.05490946769714, -49.971216663718224, 59.4946528673172, -14.313104540109634, 165.41772941779345, 42.43620802462101, -58.603667229413986, 18.60883094370365, 111.75287483632565, -204.24496273696423, -10.331166744232178, -35.87785395979881]| 11.0148286819458008|    512.00000000|[4639, 309, 0, 85]                                                         |  | used quadratic model with 292 points | actual_k=4
      18|[-455.9330795407295, -337.9710775241256, 208.6125339269638, 347.0130975842476, -103.65006631612778, -174.38139724731445, 114.35761603713036, -120.54659402370453, 171.02288199961185, 58.796036660671234, 69.41845774650574, -87.90009163320065, 38.28771889209747, -8.24772635102272, 283.66866020392627, 25.44050146639347, -119.95366570353508, -37.74516914784908, -36.79097892343998, -222.2598247975111, -35.33918523788452, -48.45031890273094]| 10.9702911376953125|   1024.00000000|[4912, 327, 0, 90]                                                         | | GPS sucess | actual_k=4
      19|[-455.9330795407295, -337.9710775241256, 208.6125339269638, 347.0130975842476, -103.65006631612778, -174.38139724731445, 114.35761603713036, -120.54659402370453, 171.02288199961185, 58.796036660671234, 69.41845774650574, -87.90009163320065, 38.28771889209747, -8.24772635102272, 283.66866020392627, 25.44050146639347, -119.95366570353508, -37.74516914784908, -36.79097892343998, -222.2598247975111, -35.33918523788452, -48.45031890273094]| 10.9702911376953125|    512.00000000|[5185, 345, 0, 95]                                                         |  | used quadratic model with 292 points | actual_k=4
      20|[-455.9330795407295, -337.9710775241256, 208.6125339269638, 347.0130975842476, -103.65006631612778, -174.38139724731445, 114.35761603713036, -120.54659402370453, 171.02288199961185, 58.796036660671234, 69.41845774650574, -87.90009163320065, 38.28771889209747, -8.24772635102272, 283.66866020392627, 25.44050146639347, -119.95366570353508, -37.74516914784908, -36.79097892343998, -222.2598247975111, -35.33918523788452, -48.45031890273094]| 10.9702911376953125|    256.00000000|[5457, 364, 0, 100]                                                        |  | used quadratic model with 292 points | actual_k=4
      21|[-455.9330795407295, -337.9710775241256, 208.6125339269638, 347.0130975842476, -103.65006631612778, -174.38139724731445, 114.35761603713036, -120.54659402370453, 171.02288199961185, 58.796036660671234, 69.41845774650574, -87.90009163320065, 38.28771889209747, -8.24772635102272, 283.66866020392627, 25.44050146639347, -119.95366570353508, -37.74516914784908, -36.79097892343998, -222.2598247975111, -35.33918523788452, -48.45031890273094]| 10.9702911376953125|    128.00000000|[5731, 381, 0, 105]                                                        |  | used quadratic model with 292 points | actual_k=4
      22|[-442.92176324129105, -401.89956720918417, 166.49904668331146, 348.2822281718254, -4.970302522182465, -94.70646286010742, 104.24176749587059, -47.404122710227966, 188.4310355335474, 86.09169667959213, -51.200217485427856, -13.714308246970177, 97.53843224048615, -1.4210328161716461, 322.868908922188, 107.29045416414738, -70.97570702433586, -41.81064175069332, -19.28311301767826, -212.00498490035534, 4.889647006988525, -73.5006442964077]| 10.9557533264160156|    256.00000000|[6002, 401, 0, 110]                                                        | | GPS sucess | actual_k=4
