k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.50000000|[2, 1, 1, 2]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       2|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.25000000|[5, 1, 2, 4]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       3|[0.7755714356899261, 0.2101445257663727]                                        |  1.1444236040115356|      0.50000000|[8, 1, 2, 5]                                                               | | GPS sucess | actual_k=1
       4|[0.3002428809197734, 0.3652663005760942]                                        |  0.1018354684621215|      1.00000000|[9, 2, 3, 7]                                                               |  | used linear model with 3 points | iterate success | actual_k=1
       5|[0.3002428809197734, 0.3652663005760942]                                        |  0.1018354684621215|      0.50000000|[12, 2, 3, 8]                                                              |  | used linear model with 3 points | actual_k=1
       6|[0.3002428809197734, 0.3652663005760942]                                        |  0.1018354684621215|      0.25000000|[14, 2, 4, 10]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
       7|[0.2160050669701885, 0.1298857553175722]                                        |  0.0089590586721897|      0.50000000|[17, 2, 4, 11]                                                             | | GPS sucess | actual_k=1
       8|[0.2160050669701885, 0.1298857553175722]                                        |  0.0089590586721897|      0.25000000|[19, 2, 5, 13]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
       9|[-0.0301270982233693, 0.173691570597056]                                        |  0.0027876992244273|      0.50000000|[21, 3, 5, 14]                                                             | | GPS sucess | actual_k=1
      10|[-0.0301270982233693, 0.173691570597056]                                        |  0.0027876992244273|      0.25000000|[22, 4, 6, 16]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
      11|[0.1191210547478984, -0.0268701167532172]                                       |  0.0006261075614020|      0.50000000|[25, 4, 6, 17]                                                             | | GPS sucess | actual_k=1
      12|[0.1191210547478984, -0.0268701167532172]                                       |  0.0006261075614020|      0.25000000|[26, 5, 6, 18]                                                             |  | used linear model with 3 points | actual_k=1
      13|[0.1191210547478984, -0.0268701167532172]                                       |  0.0006261075614020|      0.12500000|[28, 5, 6, 19]                                                             |  | used linear model with 3 points | actual_k=1
      14|[-0.0046789100376775, -0.0441492238768305]                                      |  0.0000114843851406|      0.25000000|[30, 5, 6, 20]                                                             | | GPS sucess | actual_k=1
