k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |749.0383999999999105|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.3793725490570068, 1.5714634656906128]                                       |266.3111267089843750|      2.00000000|[2, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[-0.3967871189117431, -0.4284605979919434]                                      | 15.3459138870239258|      4.00000000|[4, 1, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[-0.3967871189117431, -0.4284605979919434]                                      | 15.3459138870239258|      2.00000000|[6, 1, 1, 4]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       4|[-0.3967871189117431, -0.4284605979919434]                                      | 15.3459138870239258|      1.00000000|[8, 2, 2, 6]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       5|[-0.3967871189117431, -0.4284605979919434]                                      | 15.3459138870239258|      0.50000000|[11, 2, 3, 8]                                                              |  | used linear model with 3 points | iterate failure | actual_k=1
       6|[-0.3967871189117431, -0.4284605979919434]                                      | 15.3459138870239258|      0.25000000|[14, 2, 4, 10]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
       7|[-0.3125493049621582, -0.1930800527334213]                                      |  4.3649716377258301|      0.50000000|[17, 2, 4, 11]                                                             | | GPS sucess | actual_k=1
       8|[0.1756456971168519, -0.0850722342729568]                                       |  1.4984248876571655|      1.00000000|[19, 2, 4, 12]                                                             | | GPS sucess | actual_k=1
       9|[0.1756456971168519, -0.0850722342729568]                                       |  1.4984248876571655|      0.50000000|[20, 3, 5, 14]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
      10|[0.1756456971168519, -0.0850722342729568]                                       |  1.4984248876571655|      0.25000000|[22, 4, 6, 16]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
      11|[0.1756456971168519, -0.0850722342729568]                                       |  1.4984248876571655|      0.12500000|[25, 4, 7, 18]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
      12|[0.2568567604496286, 0.009952831853617]                                         |  0.5571526311181394|      0.25000000|[27, 5, 8, 20]                                                             |  | used linear model with 3 points | iterate success | actual_k=1
