k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      | 24.0625000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3554700911045074, 0.4478484690189362]                                        |  7.1657128334045410|      2.00000000|[3, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[0.3554700911045074, 0.4478484690189362]                                        |  7.1657128334045410|      1.00000000|[5, 2, 1, 3]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       3|[0.3554700911045074, 0.4478484690189362]                                        |  7.1657128334045410|      0.50000000|[8, 3, 2, 5]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       4|[0.5590618550777435, 0.5942585617303848]                                        |  0.3334145545959473|      1.00000000|[12, 3, 2, 6]                                                              | | GPS sucess | actual_k=1
       5|[0.5590618550777435, 0.5942585617303848]                                        |  0.3334145545959473|      0.50000000|[14, 4, 3, 8]                                                              |  | used linear model with 4 points | iterate failure | actual_k=1
       6|[0.5590618550777435, 0.5942585617303848]                                        |  0.3334145545959473|      0.25000000|[17, 5, 4, 10]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       7|[0.5590618550777435, 0.5942585617303848]                                        |  0.3334145545959473|      0.12500000|[20, 6, 5, 12]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       8|[0.5500311078503728, 0.6214732639491558]                                        |  0.2803305089473724|      0.25000000|[23, 7, 5, 13]                                                             | | GPS sucess | actual_k=1
       9|[0.5500311078503728, 0.6214732639491558]                                        |  0.2803305089473724|      0.12500000|[25, 8, 6, 15]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
      10|[0.5500311078503728, 0.6214732639491558]                                        |  0.2803305089473724|      0.06250000|[28, 9, 7, 17]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
      11|[0.5500311078503728, 0.6214732639491558]                                        |  0.2803305089473724|      0.03125000|[31, 10, 8, 19]                                                            |  | used linear model with 4 points | iterate failure | actual_k=1
      12|[0.5500311078503728, 0.6214732639491558]                                        |  0.2803305089473724|      0.01562500|[34, 11, 9, 21]                                                            |  | used linear model with 4 points | iterate failure | actual_k=1
