k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.077446460723877, -0.2271993100643158]                                        |  0.0087208766490221|      2.00000000|[3, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[0.077446460723877, -0.2271993100643158]                                        |  0.0087208766490221|      1.00000000|[5, 0, 1, 3]                                                               |  | used linear model with 3 points | iterate failure | actual_k=0
       3|[0.077446460723877, -0.2271993100643158]                                        |  0.0087208766490221|      0.50000000|[8, 0, 2, 5]                                                               |  | used linear model with 3 points | iterate failure | actual_k=0
       4|[-0.0044073313474655, 0.155061399936676]                                        |  0.0017352825962007|      1.00000000|[11, 0, 2, 6]                                                              | | GPS sucess | actual_k=0
       5|[0.0074566081166267, -0.0116104423999786]                                       |  0.0000000787797561|      2.00000000|[13, 0, 2, 7]                                                              | | GPS sucess | actual_k=0
       6|[0.0074566081166267, -0.0116104423999786]                                       |  0.0000000787797561|      1.00000000|[15, 0, 3, 9]                                                              |  | used linear model with 3 points | iterate failure | actual_k=0
       7|[0.0074566081166267, -0.0116104423999786]                                       |  0.0000000787797561|      0.50000000|[18, 0, 4, 11]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
       8|[0.0074566081166267, -0.0116104423999786]                                       |  0.0000000787797561|      0.25000000|[21, 0, 5, 13]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
       9|[0.0074566081166267, -0.0116104423999786]                                       |  0.0000000787797561|      0.12500000|[24, 0, 6, 15]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
      10|[0.0074566081166267, -0.0116104423999786]                                       |  0.0000000787797561|      0.06250000|[27, 0, 6, 16]                                                             |  | used linear model with 3 points | actual_k=0
      11|[0.0074566081166267, -0.0116104423999786]                                       |  0.0000000787797561|      0.03125000|[29, 0, 6, 17]                                                             |  | used linear model with 3 points | actual_k=0
      12|[0.0074566081166267, -0.0116104423999786]                                       |  0.0000000787797561|      0.01562500|[31, 0, 6, 18]                                                             |  | used linear model with 3 points | actual_k=0
      13|[0.0018030786886811, -0.0110026204842143]                                       |  0.0000000447837216|      0.03125000|[33, 0, 6, 19]                                                             | | GPS sucess | actual_k=0
      14|[0.0018030786886811, -0.0110026204842143]                                       |  0.0000000447837216|      0.01562500|[35, 0, 6, 20]                                                             |  | used linear model with 3 points | actual_k=0
