k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2337608933448792, 0.0766544863581657, -0.2998392283916473, 0.4963559210300446, -0.3111166656017303, -0.1511278748512268, 0.159436509013176, 0.4399636685848236, -0.0135666718706489, -0.0948845148086548, 0.271331399679184, -0.3117490410804749, -0.1806002706289291, -0.1016004830598831, -0.0011232998222113, 0.0960525050759315, -0.038376409560442, -0.0505730286240578, 0.0105772092938423, -0.0826879143714905, 0.119085930287838, -0.0484049059450626]| 13.9711828231811523|      2.00000000|[292, 0, 0, 5]                                                             | | GPS sucess | actual_k=0
       2|[1.4630687832832336, -0.2608349993824959, -0.1681140512228012, 1.1937900483608246, -0.359496746212244, -0.2644879370927811, -0.0827387571334839, 0.2623954266309738, -0.3782706251367927, -0.2509149461984634, -0.0170277059078217, -0.8952956795692444, 0.0623221844434738, -0.4268490523099899, 0.1495176646858454, -0.5467694029211998, 0.4696405939757824, -0.2042329981923103, -0.0755385011434555, -0.0397636964917183, 0.1461705416440964, -0.4779846407473087]| 12.3601846694946289|      4.00000000|[583, 0, 0, 10]                                                            | | GPS sucess | actual_k=0
       3|[0.349046528339386, -1.0038781240582466, 0.1168421655893326, 2.929836004972458, -0.6283355094492435, -1.3324985057115555, -1.1236927509307861, 1.3779509514570236, -0.5512178232893348, 0.5524996966123581, 0.9391904175281525, 0.4244003891944885, 0.0937406308948994, -2.179007813334465, 0.3520014528185129, -0.7828989252448082, 0.0678919963538647, -0.3830007687211037, -0.4763854295015335, -0.0047745555639267, -0.4907451421022415, -0.1747883297502995]| 12.1410913467407227|      8.00000000|[874, 0, 0, 15]                                                            | | GPS sucess | actual_k=0
       4|[-1.3442946076393127, -1.4983255341649055, 2.464079514145851, 3.901552051305771, -0.2017408348619938, -0.5398223549127579, -0.0705387592315674, 2.8085335940122604, -0.6212844764813781, -1.3795847445726395, -0.4542679488658905, 0.6292897611856461, 1.69293849542737, -4.548009440302849, -2.3886606451123953, 0.0510836020112038, -0.6522558517754078, 2.6714475974440575, -1.1911829262971878, -2.7988314479589462, 1.2173183411359787, -0.7608609534800053]| 12.1363534927368164|     16.00000000|[1165, 0, 0, 20]                                                           | | GPS sucess | actual_k=0
       5|[-5.24144059419632, -4.534224696457386, 1.8616162687540054, 7.144521087408066, -4.747050855308771, -5.098499551415443, -3.1271204948425293, -1.3195572644472122, -0.5886052725836635, -1.1452799290418625, 0.3406502902507782, -0.5375116914510727, -1.9016226045787334, -3.0304135531187057, -3.822208618745208, -1.7261570319533348, -7.948776561766863, 1.774396263062954, -2.7256428748369217, -7.060630783438683, 5.8157065361738205, 3.8596028946340084]| 12.1280727386474609|     32.00000000|[1456, 0, 0, 25]                                                           | | GPS sucess | actual_k=0
       6|[-5.786604046821594, -11.580094523727894, 2.8566121011972427, 7.970438212156296, -8.023267600685358, -11.455994382500648, -0.5446288585662842, 6.987949296832085, -6.272713529877365, 2.6621336489915848, -10.49788311123848, -0.5036192424595356, -11.31822569295764, -4.912069961428642, 1.71615388430655, -4.352923475205898, 10.289537113159895, 9.653026901185513, 2.364859387278557, -5.533382162451744, -4.691178038716316, 6.581048931926489]| 12.1185111999511719|     64.00000000|[1747, 0, 0, 30]                                                           | | GPS sucess | actual_k=0
       7|[-15.631035923957825, -46.90631980448961, 9.933184996247292, 16.883875101804733, -5.680846307426691, -36.07245518267155, 12.231464624404907, 8.645347282290459, -26.649668562225997, 1.2007658034563065, 1.4662911593914032, 0.7458040229976177, -8.127989362925291, -24.317661926150322, 10.462347770109773, -8.88566168397665, 9.53227410838008, 7.887844048440456, 10.883635327219963, 5.8847592025995255, -5.6679378896951675, -13.55409625545144]| 12.0700912475585938|    128.00000000|[2038, 0, 0, 35]                                                           | | GPS sucess | actual_k=0
       8|[-26.63064396381378, -40.71526689082384, 84.27966631948948, 12.117284029722214, 8.544366743415594, -20.362863317131996, 2.7863876819610596, -8.271267250180244, -23.227624761871994, -20.63093738257885, 16.003529280424118, 15.419451903551817, -11.08652574941516, -4.356550857424736, 11.252551401033998, -46.75992926210165, -27.64731039479375, 14.342830620706081, 50.466318890452385, 25.980918183922768, -30.09234394133091, -41.491409335285425]| 12.0364208221435547|    256.00000000|[2329, 0, 0, 40]                                                           | | GPS sucess | actual_k=0
       9|[-26.63064396381378, -40.71526689082384, 84.27966631948948, 12.117284029722214, 8.544366743415594, -20.362863317131996, 2.7863876819610596, -8.271267250180244, -23.227624761871994, -20.63093738257885, 16.003529280424118, 15.419451903551817, -11.08652574941516, -4.356550857424736, 11.252551401033998, -46.75992926210165, -27.64731039479375, 14.342830620706081, 50.466318890452385, 25.980918183922768, -30.09234394133091, -41.491409335285425]| 12.0364208221435547|    128.00000000|[2620, 0, 0, 45]                                                           |  | used quadratic model with 292 points | actual_k=0
      10|[-62.495290875434875, -7.843745894730091, 99.817572966218, 35.38129732012749, -9.859672639518976, -6.492021337151527, 17.10306668281555, -24.678732231259346, -11.063006269745529, -57.88803271949291, 31.008821219205856, -7.22495536878705, -18.944423984736204, 49.172116592526436, 31.38907560147345, -96.11230429261923, -22.432977337390184, 36.010524712502956, 49.61852614581585, -10.744736418128014, -24.222708359360695, -56.991924319416285]| 11.9735221862792969|    256.00000000|[2911, 0, 0, 50]                                                           | | GPS sucess | actual_k=0
      11|[-62.495290875434875, -7.843745894730091, 99.817572966218, 35.38129732012749, -9.859672639518976, -6.492021337151527, 17.10306668281555, -24.678732231259346, -11.063006269745529, -57.88803271949291, 31.008821219205856, -7.22495536878705, -18.944423984736204, 49.172116592526436, 31.38907560147345, -96.11230429261923, -22.432977337390184, 36.010524712502956, 49.61852614581585, -10.744736418128014, -24.222708359360695, -56.991924319416285]| 11.9735221862792969|    128.00000000|[3202, 0, 0, 55]                                                           |  | used quadratic model with 292 points | actual_k=0
      12|[-79.70541393756866, -66.91458482295275, 106.30233992636204, 51.60773774981499, 13.356958296149969, -12.320606008172035, 16.36577171087265, -19.37092335522175, 35.25099672097713, -106.21618442237377, 34.200633496046066, -1.2716811187565327, -12.17207271978259, 67.70805867016315, 42.974486673250794, -136.4208675250411, 7.054294925183058, 42.648029290139675, 40.80525462329388, 9.755187287926674, -19.34290136396885, -28.011762652546167]| 11.8928194046020508|    256.00000000|[3493, 0, 0, 60]                                                           | | GPS sucess | actual_k=0
      13|[-79.70541393756866, -66.91458482295275, 106.30233992636204, 51.60773774981499, 13.356958296149969, -12.320606008172035, 16.36577171087265, -19.37092335522175, 35.25099672097713, -106.21618442237377, 34.200633496046066, -1.2716811187565327, -12.17207271978259, 67.70805867016315, 42.974486673250794, -136.4208675250411, 7.054294925183058, 42.648029290139675, 40.80525462329388, 9.755187287926674, -19.34290136396885, -28.011762652546167]| 11.8928194046020508|    128.00000000|[3784, 0, 0, 65]                                                           |  | used quadratic model with 292 points | actual_k=0
      14|[-79.70541393756866, -66.91458482295275, 106.30233992636204, 51.60773774981499, 13.356958296149969, -12.320606008172035, 16.36577171087265, -19.37092335522175, 35.25099672097713, -106.21618442237377, 34.200633496046066, -1.2716811187565327, -12.17207271978259, 67.70805867016315, 42.974486673250794, -136.4208675250411, 7.054294925183058, 42.648029290139675, 40.80525462329388, 9.755187287926674, -19.34290136396885, -28.011762652546167]| 11.8928194046020508|     64.00000000|[4075, 0, 0, 70]                                                           |  | used quadratic model with 292 points | actual_k=0
      15|[-89.34002220630646, -78.25798291713, 90.45054377615452, 62.69793054461479, 24.086653616279364, -10.189565673470497, -6.579073488712311, -20.646197274327278, -0.1520985243842006, -127.18079929053783, 38.195243805646896, 16.12734193727374, -3.7684462778270245, 70.97648604214191, 32.65264447964728, -143.5182090625167, 5.273420196026564, 45.54431339353323, 41.513202890753746, -1.0913741439580917, -13.973224774003029, -27.956391096115112]| 11.8651638031005859|    128.00000000|[4366, 0, 0, 75]                                                           | | GPS sucess | actual_k=0
      16|[-126.40216362476349, -47.0767962411046, 94.55904711782932, 89.04004022479057, 36.27391329035163, -11.498823776841164, 8.36305183172226, -1.4738473445177078, -5.4508303282782435, -190.17100696265697, 22.436658829450607, -12.357940960675478, -40.89742882177234, 102.62324507534504, 29.866799438372254, -160.53865011781454, 37.36702523753047, 50.21783634275198, 69.42312644422054, -8.295302137732506, -16.226912394165993, -78.81951212882996]| 11.8045644760131836|    256.00000000|[4657, 0, 0, 80]                                                           | | GPS sucess | actual_k=0
      17|[-126.40216362476349, -47.0767962411046, 94.55904711782932, 89.04004022479057, 36.27391329035163, -11.498823776841164, 8.36305183172226, -1.4738473445177078, -5.4508303282782435, -190.17100696265697, 22.436658829450607, -12.357940960675478, -40.89742882177234, 102.62324507534504, 29.866799438372254, -160.53865011781454, 37.36702523753047, 50.21783634275198, 69.42312644422054, -8.295302137732506, -16.226912394165993, -78.81951212882996]| 11.8045644760131836|    128.00000000|[4948, 0, 0, 85]                                                           |  | used quadratic model with 292 points | actual_k=0
      18|[-140.77243149280548, -44.682057328522205, 163.78747881948948, 88.15042421221733, 32.33302703127265, -42.817671433091164, -2.9256330132484436, 16.998578116297722, 6.624929559417069, -168.9495847672224, 63.30519673228264, 1.2473389618098736, -61.31898910924792, 108.67277939617634, -9.089663421735168, -185.7446552142501, 14.323766570538282, 35.17867370694876, 71.00566659867764, 42.67840315401554, -31.84051026403904, -63.99559760093689]| 11.7657918930053711|    256.00000000|[5239, 0, 0, 90]                                                           | | GPS sucess | actual_k=0
      19|[-131.6580926179886, -142.1582536175847, 116.06792010366917, 95.78214141726494, 151.18354430422187, -89.9731623083353, -27.65106636285782, 61.262848898768425, -24.603189337067306, -231.07614116370678, -36.500421553850174, 18.84906167909503, -131.12080795690417, 87.34961540997028, -6.471069252118468, -169.3859382495284, -68.02804007008672, 19.226243935525417, 59.477776393294334, 2.0029041916131973, 28.949757680296898, -30.91692328453064]| 11.7269134521484375|    512.00000000|[5530, 0, 0, 95]                                                           | | GPS sucess | actual_k=0
      20|[-131.6580926179886, -142.1582536175847, 116.06792010366917, 95.78214141726494, 151.18354430422187, -89.9731623083353, -27.65106636285782, 61.262848898768425, -24.603189337067306, -231.07614116370678, -36.500421553850174, 18.84906167909503, -131.12080795690417, 87.34961540997028, -6.471069252118468, -169.3859382495284, -68.02804007008672, 19.226243935525417, 59.477776393294334, 2.0029041916131973, 28.949757680296898, -30.91692328453064]| 11.7269134521484375|    256.00000000|[5821, 0, 0, 100]                                                          |  | used quadratic model with 292 points | actual_k=0
      21|[-148.79372417926788, -185.59600157290697, 151.41433657705784, 105.4392029941082, 221.32119384035468, -87.93230809271336, -43.365125238895416, 59.62051324546337, -35.442056524567306, -257.8879754990339, -126.8705463707447, 31.2480380050838, -146.53474266454577, 14.373419120907784, 57.93157967366278, -253.3741432055831, -93.2862588353455, -32.812772788107395, 60.88740073144436, -6.727211698889732, 16.64849577844143, 133.25156426429749]| 11.7182664871215820|    512.00000000|[6112, 0, 0, 105]                                                          | | GPS sucess | actual_k=0
