k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.7966520339250565, 0.755440890789032, 0.6576565504074097, 1.0520600192248821, 0.8990033939480782, 0.6883210837841034, 0.9145139753818512, 1.0779559388756752, 1.043668046593666, 1.3188260793685913, 0.8707456141710281, 0.4826434850692749, 0.9079131111502647, 0.6120982468128204, 0.8319505453109741, 1.2058384418487549, 0.9336377158761024, 0.9312115609645844, 1.0405867993831635, 1.0850397646427155, 0.9021964147686958, 0.9800731148570776]|  1.3619446754455566|      2.00000000|[243, 35, 0, 18]                                                           | | GPS sucess | actual_k=2
       2|[0.3707120567560196, 0.8148740120232105, -0.3487852811813354, 1.328494381159544, 0.7675079926848412, 0.6922197809908539, 0.4842638075351715, 0.8985652104020119, 1.518431469798088, 0.9655472934246063, 1.108736366033554, -0.3112326860427856, 0.5772254392504692, 0.0654331147670746, 0.52736496925354, 1.369483470916748, 0.688766784965992, 0.5752647221088409, 0.6008510291576385, 0.8694599121809006, 1.2417957559227943, 0.3703844752162695]|  1.0971109867095947|      4.00000000|[485, 70, 0, 36]                                                           | | GPS sucess | actual_k=2
       3|[-0.9244555085897446, 0.4779567010700703, -0.0117831826210022, 1.0916800014674664, 0.8033255413174629, -0.5643612870480865, 0.4015456065535545, 0.737418107688427, 0.842401847243309, -0.5421866476535797, 1.4338116943836212, -1.7471016645431519, -0.1646877601742744, 0.532062828540802, 1.014576107263565, 1.5090076476335526, 1.8822648003697395, 2.139109641313553, 0.9431161284446716, -0.391858771443367, 0.4591974392533302, 0.2074604090303183]|  0.7900991439819336|      8.00000000|[728, 104, 0, 54]                                                          | | GPS sucess | actual_k=2
       4|[0.3266070038080215, -0.7774722091853619, -1.6035820841789246, 2.5684600584208965, 0.084605760872364, -0.1341959664132446, -3.09362880140543, 0.1341725513339043, 1.0066753178834915, -2.509093314409256, 1.8515097498893738, -5.6915048360824585, -1.3374012783169746, -0.0941904783248901, -1.6036580502986908, 1.9787711650133133, 0.3509816601872444, 2.370149791240692, -0.9426493048667908, 0.9797594994306564, -0.2369917258620262, 0.7523501571267843]|  0.6457396149635315|     16.00000000|[971, 138, 0, 72]                                                          | | GPS sucess | actual_k=2
       5|[0.3266070038080215, -0.7774722091853619, -1.6035820841789246, 2.5684600584208965, 0.084605760872364, -0.1341959664132446, -3.09362880140543, 0.1341725513339043, 1.0066753178834915, -2.509093314409256, 1.8515097498893738, -5.6915048360824585, -1.3374012783169746, -0.0941904783248901, -1.6036580502986908, 1.9787711650133133, 0.3509816601872444, 2.370149791240692, -0.9426493048667908, 0.9797594994306564, -0.2369917258620262, 0.7523501571267843]|  0.6457396149635315|      8.00000000|[1214, 172, 0, 90]                                                         |  | used quadratic model with 278 points | actual_k=2
       6|[1.0065194517374039, -0.1766013018786907, -1.9656385481357574, 0.4386306516826153, -2.2356888577342033, -1.2520870396401733, -2.124751903116703, -0.5741270259022713, -2.1302284449338913, -2.093259483575821, 0.8335382342338562, -4.760067701339722, 0.1744451448321342, 4.906136631965637, -1.5542439371347427, 1.97800531151006, -0.3690370246767998, 1.5436671376228333, 0.2850773930549622, 1.7664820402860641, 0.3069094195961952, 0.9776280727237463]|  0.5358883142471313|     16.00000000|[1455, 208, 0, 108]                                                        | | GPS sucess | actual_k=2
       7|[1.0065194517374039, -0.1766013018786907, -1.9656385481357574, 0.4386306516826153, -2.2356888577342033, -1.2520870396401733, -2.124751903116703, -0.5741270259022713, -2.1302284449338913, -2.093259483575821, 0.8335382342338562, -4.760067701339722, 0.1744451448321342, 4.906136631965637, -1.5542439371347427, 1.97800531151006, -0.3690370246767998, 1.5436671376228333, 0.2850773930549622, 1.7664820402860641, 0.3069094195961952, 0.9776280727237463]|  0.5358883142471313|      8.00000000|[1698, 242, 0, 126]                                                        |  | used quadratic model with 278 points | actual_k=2
       8|[-0.7695029824972153, -4.344416510313749, -4.353032499551773, -1.7534560449421406, -3.2188333198428154, 0.0011864474508911, -2.258431501686573, -0.8782792165875435, -2.054664231836796, -2.1355977915227413, 0.4177947640419006, -1.2751235961914062, 0.3062358424067497, 3.6916701793670654, -0.7128936797380447, 1.452145478746388, -0.1231615170836449, -1.2818416953086853, -0.2391684055328369, 1.4087933748960495, 2.2673312202095985, 1.4524289276450872]|  0.5072287321090698|     16.00000000|[1940, 277, 0, 144]                                                        | | GPS sucess | actual_k=2
       9|[-0.7695029824972153, -4.344416510313749, -4.353032499551773, -1.7534560449421406, -3.2188333198428154, 0.0011864474508911, -2.258431501686573, -0.8782792165875435, -2.054664231836796, -2.1355977915227413, 0.4177947640419006, -1.2751235961914062, 0.3062358424067497, 3.6916701793670654, -0.7128936797380447, 1.452145478746388, -0.1231615170836449, -1.2818416953086853, -0.2391684055328369, 1.4087933748960495, 2.2673312202095985, 1.4524289276450872]|  0.5072287321090698|      8.00000000|[2183, 311, 0, 162]                                                        |  | used quadratic model with 278 points | actual_k=2
      10|[-3.0803514569997787, -3.6424293629825115, -2.8021335899829865, -3.6959838159382343, -3.70862328261137, -1.5655010172631592, -2.163662165403366, -1.4675993397831917, -1.1007880344986916, -0.8667766712605953, -2.0125245451927185, -2.324815273284912, 1.2454181835055351, 4.845626354217529, 2.231899067759514, 2.6639312720508315, -2.630345068871975, -4.4299017786979675, 0.2582308948040009, 3.848632737994194, 0.847552515566349, -0.0923143718391657]|  0.4922659695148468|     16.00000000|[2426, 345, 0, 180]                                                        | | GPS sucess | actual_k=2
      11|[-3.0803514569997787, -3.6424293629825115, -2.8021335899829865, -3.6959838159382343, -3.70862328261137, -1.5655010172631592, -2.163662165403366, -1.4675993397831917, -1.1007880344986916, -0.8667766712605953, -2.0125245451927185, -2.324815273284912, 1.2454181835055351, 4.845626354217529, 2.231899067759514, 2.6639312720508315, -2.630345068871975, -4.4299017786979675, 0.2582308948040009, 3.848632737994194, 0.847552515566349, -0.0923143718391657]|  0.4922659695148468|      8.00000000|[2669, 379, 0, 198]                                                        |  | used quadratic model with 278 points | actual_k=2
