k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-4.0, -0.1]                                                                    | 41.0311021275976984|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-4.0, -0.1]                                                                    | 41.0311021275976984|      0.50000000|[2, 1, 1, 2]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       2|[-4.0, -0.1]                                                                    | 41.0311021275976984|      0.25000000|[4, 2, 2, 4]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       3|[-4.0, -0.1]                                                                    | 41.0311021275976984|      0.12500000|[6, 3, 3, 6]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       4|[-3.968886686488986, -0.1071767610497773]                                       | 34.8886985778808594|      0.25000000|[9, 3, 3, 7]                                                               | | GPS sucess | actual_k=1
       5|[-3.968886686488986, -0.1071767610497773]                                       | 34.8886985778808594|      0.12500000|[10, 4, 4, 9]                                                              |  | used linear model with 3 points | iterate failure | actual_k=1
       6|[-3.968886686488986, -0.1071767610497773]                                       | 34.8886985778808594|      0.06250000|[13, 4, 5, 11]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
       7|[-3.968886686488986, -0.1071767610497773]                                       | 34.8886985778808594|      0.03125000|[15, 5, 6, 13]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
       8|[-3.968886686488986, -0.1071767610497773]                                       | 34.8886985778808594|      0.01562500|[17, 6, 7, 15]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
       9|[-3.968886686488986, -0.1071767610497773]                                       | 34.8886985778808594|      0.00781250|[19, 7, 8, 17]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
      10|[-3.966814812272787, -0.1080292968195863]                                       | 34.5272064208984375|      0.01562500|[21, 8, 8, 18]                                                             | | GPS sucess | actual_k=1
      11|[-3.966814812272787, -0.1080292968195863]                                       | 34.5272064208984375|      0.00781250|[23, 8, 9, 20]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
