k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.4333606064319611, -0.0048189018853009, -0.1761800050735474, 0.4808159172534943, 0.0537912733852863, 0.1953841000795364, 0.3228765428066254, 0.1055358499288559, -0.2694976329803467, 0.0634216815233231, 0.0107864225283265, 0.1317882090806961, 0.054891187697649, -0.2374348044395447, 0.0214248336851597, 0.0600030086934566, 0.2737790644168854, 0.014476340264082, 0.1180225014686584, 0.1469638645648956, 0.0821138545870781, 0.2076299637556076]| 13.7517747879028320|      2.00000000|[241, 35, 0, 5]                                                            | | GPS sucess | actual_k=8
       2|[1.1591619551181793, 0.093739218544215, 0.2438070476055145, 1.2587588727474213, 0.5775949247181416, 0.2127780672162771, 0.0338474810123444, -0.070489376783371, 0.4061949253082275, 0.3333303481340408, 0.5983187640085816, 0.109626030549407, -0.2258936278522015, 0.1232443749904633, -0.1259852461516857, 0.0602282485779142, 1.0216380655765533, 0.4456467740237713, 0.3300358653068542, 0.0695434287190437, 0.4224296435713768, 0.3904794305562973]| 12.4000663757324219|      4.00000000|[482, 69, 0, 10]                                                           | | GPS sucess | actual_k=8
       3|[0.455405980348587, -0.619529836345464, 0.1296269372105598, 2.7621342837810516, 1.0432204194366932, 0.8904881235212088, -0.8164958655834198, 0.5693871080875397, -0.7869940996170044, 1.4063086062669754, 1.1217621052637696, -0.8024121169000864, -0.883333396166563, 1.6567945182323456, 0.7516448684036732, 0.2086122832115507, -0.2868363559246063, 0.4174579437822104, 0.9088494777679443, 0.1755728870630264, 0.1891749873757362, 0.8692884892225266]| 12.1427183151245117|      8.00000000|[722, 104, 0, 15]                                                          | | GPS sucess | actual_k=8
       4|[-1.6351787745952606, -3.0938049484975636, 0.9735266640782356, 4.459600418806076, 2.9193582721054554, 2.7980202194303274, -0.2253551185131073, 3.8194595873355865, -0.1594791412353516, 0.2477103024721146, 0.4146245205774903, -1.6863750461488962, -3.989865254610777, 1.7935025095939636, 0.8138866014778614, 2.35736044262012, 0.5269931256771088, -0.1231663767248392, 2.7569167613983154, 0.3861548751592636, 2.944578267633915, 1.423249289393425]| 12.1348514556884766|     16.00000000|[962, 139, 0, 20]                                                          | | GPS sucess | actual_k=8
       5|[-6.181094378232956, 0.0582023928873241, 0.0873004868626595, 7.928998440504074, 3.4727751798927784, 0.2888520713895559, 0.5540100038051605, 5.948780208826065, -1.8905466794967651, -2.8030339926481247, -3.2536465441808105, -4.3022414688020945, -5.652110408991575, -0.1862360835075378, 2.5330067463219166, -1.3003086247626925, -3.2733432352542877, 2.8232578691095114, 0.3527748584747314, -7.807651773095131, 3.118684910237789, 5.883045241236687]| 12.1270856857299805|     32.00000000|[1202, 174, 0, 25]                                                         | | GPS sucess | actual_k=8
       6|[-10.982802122831345, 3.056256420444697, 6.245123572647572, 10.282222479581833, 8.122800070792437, 3.7453068252652884, -2.903367668390274, -6.713804095983505, -5.766484379768372, 2.8717811852693558, -13.089893034659326, -4.133336463943124, -0.7564562074840069, -2.1609864830970764, -9.147162359207869, -1.832036415595212, -10.151563316583633, 3.6244713719934225, 6.960956335067749, -11.985060468316078, -7.5697086825966835, -2.760203316807747]| 12.1267938613891602|     64.00000000|[1443, 208, 0, 30]                                                         | | GPS sucess | actual_k=8
       7|[-26.585214346647263, -16.74455725448206, 20.992903418838978, 21.08440563082695, -2.643567841500044, 8.551014756783843, -11.956327110528946, -6.334037393331528, -5.25591915845871, 6.459522321820259, -15.206534317694604, -13.331665435805917, 12.90078466013074, -23.89408165216446, 1.5211802311241627, 1.1929126581962919, -19.87345090508461, -14.682287508621812, 21.763763189315796, -25.73505474627018, 12.357224605977535, 3.230575129389763]| 12.1053018569946289|    128.00000000|[1685, 241, 0, 35]                                                         | | GPS sucess | actual_k=8
       8|[-55.93069431185722, -1.913550250697881, 65.71205777674913, 36.09250232577324, -19.970552247017622, -2.5439073089510202, -34.76989522576332, -12.805998891592026, 1.9926322102546692, -49.13453285396099, -21.221944740973413, -28.420462051406503, -24.33244974538684, -37.30111938714981, -3.778043668717146, 36.378238280754886, -22.09839978814125, -39.782549196854234, 7.536003828048706, -75.20256496965885, 48.94891085475683, 9.388052985072136]| 12.0396356582641602|    256.00000000|[1926, 275, 0, 40]                                                         | | GPS sucess | actual_k=8
       9|[-77.0221116244793, -20.185891025234014, 68.93781990557909, 52.42193767428398, -73.163759034127, -103.00849928893149, -85.05645909905434, 33.53480997681618, -19.946368873119354, 18.772678449749947, 42.174490042962134, -10.401855865493417, -68.08935434743762, -31.254400312900543, 0.4016943760216236, 86.34198339794239, -57.78165403008461, -69.88774328865111, 31.94454073905945, -151.9261825233698, -6.0096500888466835, 112.30604462325573]| 11.9998693466186523|    512.00000000|[2168, 308, 0, 45]                                                         | | GPS sucess | actual_k=8
      10|[-61.82344600558281, -147.2014626194723, 137.18652290850878, 37.796085089445114, -158.35173968598247, -29.896339559927583, -222.7246872484684, 119.1534928381443, -4.744715392589569, 219.28964622318745, 58.34078795555979, -200.05552713014185, 137.09861867502332, -84.8831005692482, 18.5707255192101, 271.8932987055596, -108.88586774468422, -185.60948401130736, -75.78578305244446, -247.72996212542057, 69.75978197902441, 150.4130583256483]| 11.8794765472412109|   1024.00000000|[2410, 341, 0, 50]                                                         | | GPS sucess | actual_k=8
      11|[-61.82344600558281, -147.2014626194723, 137.18652290850878, 37.796085089445114, -158.35173968598247, -29.896339559927583, -222.7246872484684, 119.1534928381443, -4.744715392589569, 219.28964622318745, 58.34078795555979, -200.05552713014185, 137.09861867502332, -84.8831005692482, 18.5707255192101, 271.8932987055596, -108.88586774468422, -185.60948401130736, -75.78578305244446, -247.72996212542057, 69.75978197902441, 150.4130583256483]| 11.8794765472412109|    512.00000000|[2651, 375, 0, 55]                                                         |  | used quadratic model with 276 points | actual_k=8
      12|[-61.82344600558281, -147.2014626194723, 137.18652290850878, 37.796085089445114, -158.35173968598247, -29.896339559927583, -222.7246872484684, 119.1534928381443, -4.744715392589569, 219.28964622318745, 58.34078795555979, -200.05552713014185, 137.09861867502332, -84.8831005692482, 18.5707255192101, 271.8932987055596, -108.88586774468422, -185.60948401130736, -75.78578305244446, -247.72996212542057, 69.75978197902441, 150.4130583256483]| 11.8794765472412109|    256.00000000|[2891, 410, 0, 60]                                                         |  | used quadratic model with 276 points | actual_k=8
      13|[-106.0422074496746, -140.2835348774679, 79.47058815509081, 81.72121784090996, -221.57923297211528, -26.503010416403413, -207.545266777277, 109.80883112549782, 16.73971301317215, 316.97903068363667, 101.25438887719065, -191.72868768312037, 162.9733325727284, -73.32065778970718, -8.193198125809431, 308.96081503246387, -79.3935219347477, -305.32772284187376, -132.57356762886047, -306.0155456215143, -30.449103213846684, 187.7525129765272]| 11.7936592102050781|    512.00000000|[3131, 445, 0, 65]                                                         | | GPS sucess | actual_k=8
      14|[-106.0422074496746, -140.2835348774679, 79.47058815509081, 81.72121784090996, -221.57923297211528, -26.503010416403413, -207.545266777277, 109.80883112549782, 16.73971301317215, 316.97903068363667, 101.25438887719065, -191.72868768312037, 162.9733325727284, -73.32065778970718, -8.193198125809431, 308.96081503246387, -79.3935219347477, -305.32772284187376, -132.57356762886047, -306.0155456215143, -30.449103213846684, 187.7525129765272]| 11.7936592102050781|    256.00000000|[3372, 479, 0, 70]                                                         |  | used quadratic model with 276 points | actual_k=8
      15|[-106.0422074496746, -140.2835348774679, 79.47058815509081, 81.72121784090996, -221.57923297211528, -26.503010416403413, -207.545266777277, 109.80883112549782, 16.73971301317215, 316.97903068363667, 101.25438887719065, -191.72868768312037, 162.9733325727284, -73.32065778970718, -8.193198125809431, 308.96081503246387, -79.3935219347477, -305.32772284187376, -132.57356762886047, -306.0155456215143, -30.449103213846684, 187.7525129765272]| 11.7936592102050781|    128.00000000|[3612, 514, 0, 75]                                                         |  | used quadratic model with 276 points | actual_k=8
      16|[-122.0387370288372, -141.32180594699457, 65.21309704333544, 96.77504608035088, -243.14200381562114, 31.861781453713775, -216.44225373864174, 103.36690130829811, 3.1741822361946106, 355.6642876416445, 46.06326110009104, -142.9665874633938, 145.8390437848866, -63.53282743692398, -14.154449861496687, 322.42851789806446, -54.271064430475235, -276.7438395563513, -103.5961754322052, -278.2880389839411, -41.74133858829737, 171.6196699589491]| 11.7613449096679688|    256.00000000|[3852, 549, 0, 80]                                                         | | GPS sucess | actual_k=8
      17|[-122.0387370288372, -141.32180594699457, 65.21309704333544, 96.77504608035088, -243.14200381562114, 31.861781453713775, -216.44225373864174, 103.36690130829811, 3.1741822361946106, 355.6642876416445, 46.06326110009104, -142.9665874633938, 145.8390437848866, -63.53282743692398, -14.154449861496687, 322.42851789806446, -54.271064430475235, -276.7438395563513, -103.5961754322052, -278.2880389839411, -41.74133858829737, 171.6196699589491]| 11.7613449096679688|    128.00000000|[4092, 584, 0, 85]                                                         |  | used quadratic model with 276 points | actual_k=8
      18|[-135.03636333346367, -141.53824932174757, 43.26519054919481, 111.19454166293144, -187.05465487763286, 62.79364142380655, -238.41797509789467, 94.45346060395241, 0.5931685566902161, 401.1431923657656, 34.986801215447485, -155.41522161103785, 168.2407886274159, -35.157098829746246, 25.781886655837297, 306.3230682215508, -98.17871823906898, -264.00241594947875, -78.11969304084778, -283.2996833473444, -26.28660187870264, 138.7968588322401]| 11.7469825744628906|    256.00000000|[4333, 618, 0, 90]                                                         | | GPS sucess | actual_k=8
      19|[-135.03636333346367, -141.53824932174757, 43.26519054919481, 111.19454166293144, -187.05465487763286, 62.79364142380655, -238.41797509789467, 94.45346060395241, 0.5931685566902161, 401.1431923657656, 34.986801215447485, -155.41522161103785, 168.2407886274159, -35.157098829746246, 25.781886655837297, 306.3230682215508, -98.17871823906898, -264.00241594947875, -78.11969304084778, -283.2996833473444, -26.28660187870264, 138.7968588322401]| 11.7469825744628906|    128.00000000|[4575, 651, 0, 95]                                                         |  | used quadratic model with 276 points | actual_k=8
      20|[-154.10790035128593, -185.8612893302925, 57.530766911804676, 125.97502490878105, -174.528523247689, 83.5654138084501, -225.50479474663734, 64.83534613251686, 26.676060020923615, 381.0456410199404, 47.696303435601294, -142.41628972627223, 155.5166675336659, -41.1629644036293, 20.653094846755266, 290.8639741740044, -95.09975185990334, -329.6134846750647, -127.6425392627716, -255.90471912920475, -57.68864617496729, 140.43814425170422]| 11.7030181884765625|    256.00000000|[4816, 685, 0, 100]                                                        | | GPS sucess | actual_k=8
      21|[-171.38498470187187, -223.18275005416945, 130.3580908253789, 130.00394269824028, -181.7278483323753, 98.97013792954385, -306.76704755425453, 58.41055575013161, -40.813564002513885, 302.6319065839052, -50.821946076117456, -128.15015069581568, 145.4869176633656, -37.26069790124893, 11.859651166945696, 365.5735383829888, -128.77573910355568, -335.30920010246336, -113.28680348396301, -238.25443150103092, 37.1582013592124, 220.84652285277843]| 11.6001853942871094|    512.00000000|[5056, 720, 0, 105]                                                        | | GPS sucess | actual_k=8
