k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1703815907239914, 0.340261310338974, -0.2918848991394043, 0.2596587538719177, -0.0531272292137146, 0.2253860980272293, -0.0945106595754623, 0.0251506362110376, -0.0826609134674072, 0.0144698210060596, -0.1295367926359177, -0.2830583453178406, -0.2213968485593796, -0.2909031808376312, 0.0203376580029726, -0.0806582421064377, 0.1025073155760765, -0.1063051819801331, 0.1745223999023438, 0.3602338433265686, -0.1755805164575577, 0.4266362190246582]| 14.3782787322998047|      2.00000000|[17, 0, 0, 1]                                                              | | GPS sucess | actual_k=0
       2|[0.4017368704080582, 0.7368647456169128, -0.307356963865459, 1.1179901957511902, 0.2256766259670258, 0.2755560353398323, 0.2883624881505966, 0.2314246837049723, -0.1944978013634682, 0.4060554094612598, 0.993653729557991, -0.0836738646030426, 0.1040187925100327, -0.555913507938385, -0.249057961627841, 0.0078218206763268, 0.1699910089373589, 0.3477712571620941, 0.4236556738615036, -0.3429346680641174, 0.0193436741828918, -0.0772340297698975]| 13.0015897750854492|      4.00000000|[33, 0, 0, 2]                                                              | | GPS sucess | actual_k=0
       3|[0.5479229241609573, 1.4730808734893799, -1.4214760167524219, 2.3045700192451477, 0.2886678650975227, -0.3592452928423882, 1.4154900163412094, -0.1018196102231741, -1.2351628318428993, -1.2883347682654858, 1.3834091573953629, -0.8766596019268036, 0.7422547787427902, 0.3000537753105164, -1.6121694575995207, -0.5439863577485085, -0.0552404746413231, 0.3358321152627468, 1.3632378429174423, -0.8695681691169739, -0.223907932639122, 1.2233442068099976]| 12.2384777069091797|      8.00000000|[49, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[1.5312755852937698, -0.3768775463104248, -0.3860228164121509, 2.0809416323900223, -0.8833450600504875, -1.320482186973095, 0.0585068315267563, 2.4453245643526316, -4.4622634425759315, -4.124393384903669, 1.867159590125084, -1.328265517950058, 1.643615946173668, 3.3527292609214783, -2.4549622666090727, -0.9049124494194984, -0.3450138494372368, 2.1565384827554226, 4.818541988730431, -0.0182281136512756, -1.5610716193914413, 0.844537228345871]| 12.1446380615234375|     16.00000000|[65, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       5|[-4.731319114565849, 2.049607992172241, 0.7354651587083936, 6.453670457005501, 0.2392086461186409, -2.109618477523327, 4.887042865157127, -0.9132462497800589, -4.71893323212862, -6.736700218170881, 0.9768924564123154, -2.7303998172283173, 6.437782034277916, 6.4627503752708435, 2.042356001213193, 1.0121940597891808, 2.2549271658062935, 6.589085575193167, 4.6907151490449905, -3.0342779755592346, -1.7142046093940735, 8.07547613978386]| 12.1373901367187500|     32.00000000|[81, 0, 0, 5]                                                              | | GPS sucess | actual_k=0
       6|[-7.6926359385252, 5.552605867385864, 8.056893934495747, 7.318048194050789, 11.25590843707323, -2.699444942176342, 9.533210143446922, 3.676185989752412, -6.686472184956074, -3.6035830192267895, 9.565451607108116, 5.307008057832718, 5.1219358295202255, 12.78920167684555, 9.01279972679913, 7.8079298958182335, -7.592246524989605, 22.356928821653128, 3.505286768078804, 8.623085916042328, 1.6059746146202087, 9.399713605642319]| 12.1280803680419922|     64.00000000|[209, 0, 0, 13]                                                            |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points| GPS sucess | actual_k=0
       7|[-7.6926359385252, 5.552605867385864, 8.056893934495747, 7.318048194050789, 11.25590843707323, -2.699444942176342, 9.533210143446922, 3.676185989752412, -6.686472184956074, -3.6035830192267895, 9.565451607108116, 5.307008057832718, 5.1219358295202255, 12.78920167684555, 9.01279972679913, 7.8079298958182335, -7.592246524989605, 22.356928821653128, 3.505286768078804, 8.623085916042328, 1.6059746146202087, 9.399713605642319]| 12.1280803680419922|     32.00000000|[353, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
       8|[-11.684947654604912, 11.699093580245972, 4.325131286866963, 10.865646556019783, 17.58338303118944, 6.0457580760121346, 16.613256320357323, 5.068397069349885, -23.027908571064472, -3.6201190929859877, 16.097843632102013, 6.658150464296341, 1.9293095916509628, 19.27421325445175, 9.366259502246976, 8.022811405360699, -13.904637329280376, 17.173227306455374, -9.0830167979002, 15.651518762111664, 1.4865885227918625, -2.2893570959568024]| 12.1225605010986328|     64.00000000|[401, 0, 0, 25]                                                            |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=0
       9|[-19.863057777285576, 17.842705011367798, -12.67640985082835, 19.6305343657732, 28.226950116455555, -10.298333339393139, 26.76859460771084, -12.700415110215545, -6.5426256731152534, 3.1143474597483873, 6.065264210104942, -21.82332155108452, 5.174592241644859, 41.599051892757416, -5.4204893838614225, 4.92233919352293, -31.306838028132915, 23.395060058683157, -9.26930220425129, -6.086123526096344, 6.52812485396862, 2.242938131093979]| 12.1105241775512695|    128.00000000|[433, 0, 0, 27]                                                            |  | trying linear partial model with 17 points| GPS sucess | actual_k=0
      10|[-19.863057777285576, 17.842705011367798, -12.67640985082835, 19.6305343657732, 28.226950116455555, -10.298333339393139, 26.76859460771084, -12.700415110215545, -6.5426256731152534, 3.1143474597483873, 6.065264210104942, -21.82332155108452, 5.174592241644859, 41.599051892757416, -5.4204893838614225, 4.92233919352293, -31.306838028132915, 23.395060058683157, -9.26930220425129, -6.086123526096344, 6.52812485396862, 2.242938131093979]| 12.1105241775512695|     64.00000000|[577, 0, 0, 36]                                                            |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
      11|[-39.606702491641045, 34.97398400306702, -35.6332637174055, 37.79220695793629, 29.49819976836443, -33.226363353431225, 28.80203877389431, 1.4886298421770334, 0.7071583196520805, 9.265366556122899, -3.1609835773706436, -32.239786356687546, -12.848467603325844, 41.92368194460869, -11.044672084972262, 11.539792768657207, -5.524598114192486, 28.33693027123809, -16.641213729977608, -22.059564650058746, 7.805726811289787, -9.52212992310524]| 12.0922727584838867|    128.00000000|[689, 0, 0, 43]                                                            |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points| GPS sucess | actual_k=0
      12|[-43.54855577647686, 8.879871606826782, 11.679827560670674, 35.015439704060555, 28.75247097760439, -0.5854293629527092, 11.573029145598412, -31.722559427842498, -31.92498279362917, 4.999349595978856, -36.045993342995644, -14.118158549070358, 1.678826555609703, 53.59605285525322, 12.387842105701566, -27.502775438129902, -41.94914721697569, 37.363759990781546, -83.25634129345417, -16.297939360141754, -4.318391993641853, -15.517866998910904]| 12.0784959793090820|    256.00000000|[737, 0, 0, 46]                                                            |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points| GPS sucess | actual_k=0
      13|[-43.54855577647686, 8.879871606826782, 11.679827560670674, 35.015439704060555, 28.75247097760439, -0.5854293629527092, 11.573029145598412, -31.722559427842498, -31.92498279362917, 4.999349595978856, -36.045993342995644, -14.118158549070358, 1.678826555609703, 53.59605285525322, 12.387842105701566, -27.502775438129902, -41.94914721697569, 37.363759990781546, -83.25634129345417, -16.297939360141754, -4.318391993641853, -15.517866998910904]| 12.0784959793090820|    128.00000000|[881, 0, 0, 55]                                                            |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
      14|[-43.54855577647686, 8.879871606826782, 11.679827560670674, 35.015439704060555, 28.75247097760439, -0.5854293629527092, 11.573029145598412, -31.722559427842498, -31.92498279362917, 4.999349595978856, -36.045993342995644, -14.118158549070358, 1.678826555609703, 53.59605285525322, 12.387842105701566, -27.502775438129902, -41.94914721697569, 37.363759990781546, -83.25634129345417, -16.297939360141754, -4.318391993641853, -15.517866998910904]| 12.0784959793090820|     64.00000000|[1025, 0, 0, 64]                                                           |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
      15|[-52.92248098552227, 11.94928526878357, 16.484095920808613, 41.34865827858448, 5.822691924870014, -10.0745994374156, -4.381403341889381, -22.151917910203338, -28.675045259296894, 24.624130250886083, -41.918949618935585, 3.0885103046894073, 9.45688508450985, 62.53230640292168, -2.8660336267203093, -45.44474435597658, -47.541515819728374, 67.85825347527862, -66.8394788056612, -1.0562401413917542, 0.8185260742902756, -7.583546072244644]| 12.0640106201171875|    128.00000000|[1105, 0, 0, 69]                                                           |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points| GPS sucess | actual_k=0
